node_id,year,month,price_euro_kwh,carbon_kg_kwh,sector_0_ratio,sector_1_ratio,sector_2_ratio,sector_3_ratio
8027,2020,5,0.02133,0.16686,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,6,0.030629999999999998,0.20718,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,7,0.03462,0.21949000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,8,0.03621,0.21462,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,9,0.04195,0.21312,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,10,0.03655,0.1702,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,11,0.041960000000000004,0.19415000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2020,12,0.04197,0.14493999999999999,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,1,0.0601,0.14880000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,2,0.02854,0.10811,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,3,0.04548,0.1333,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,4,0.06506,0.18067,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,5,0.06718,0.15641,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,6,0.08331000000000001,0.19841,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,7,0.09237000000000001,0.17318,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,8,0.10608,0.18437,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,9,0.1564,0.22343000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,10,0.19967,0.21193,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,11,0.19372,0.23675,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2021,12,0.23897,0.20874,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,1,0.2018,0.22116999999999998,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,2,0.20031000000000002,0.21253999999999998,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,3,0.28319,0.18938,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,4,0.19152000000000002,0.17108,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,5,0.18716,0.17643999999999999,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,6,0.16943,0.23553,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,7,0.14268,0.24380000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,8,0.15499000000000002,0.23772,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,9,0.14092,0.23357,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,10,0.12722,0.23062,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,11,0.11556999999999999,0.17821,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2022,12,0.09675,0.17771,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,1,0.06973,0.11408,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,2,0.13349,0.18406999999999998,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,3,0.08957999999999999,0.13955,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,4,0.07382,0.13748,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,5,0.07417,0.15037,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,6,0.09305,0.18863,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,7,0.09046,0.17526,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,8,0.09609000000000001,0.17825,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,9,0.10336,0.19752,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,10,0.08984,0.17115,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,11,0.06357,0.12079999999999999,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2023,12,0.07212,0.12602,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,1,0.07411,0.13696,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,2,0.0399,0.10473,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,3,0.02028,0.10335,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,4,0.01377,0.10192,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,5,0.03032,0.11019,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,6,0.05626,0.11187000000000001,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,7,0.07243000000000001,0.13012,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,8,0.0911,0.13936,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,9,0.07254000000000001,0.13122999999999999,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,10,0.06849,0.127,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,11,0.06849,0.17232,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2024,12,0.06849,0.18056,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,1,0.06849,0.12653,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,2,0.06849,0.13733,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,3,0.06849,0.10178,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,4,0.06849,0.11695,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,5,0.06849,0.13038999999999998,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,6,0.06849,0.15678999999999998,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,7,0.06849,0.13297,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,8,0.06849,0.13894,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,9,0.06849,0.13842,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,10,0.06849,0.17638,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,11,0.06849,0.14231,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8027,2025,12,0.06849,0.16271000000000002,0.33330191346969557,0.33334904326515225,0.33334904326515225,0.0
8028,2019,1,0.06196,0.28468,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,2,0.054020000000000006,0.26844,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,3,0.04884,0.1911,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,4,0.0504,0.20751,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,5,0.04839,0.21318,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,6,0.047159999999999994,0.24324,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,7,0.05146,0.27106,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,8,0.044950000000000004,0.26830000000000004,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,9,0.04213,0.24516,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,10,0.04715,0.26842,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,11,0.04219,0.2,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2019,12,0.03381,0.16785,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,1,0.04108,0.20138,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,2,0.035859999999999996,0.19213,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,3,0.027739999999999997,0.14236000000000001,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,4,0.01761,0.15786,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,5,0.02133,0.16686,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,6,0.030629999999999998,0.20718,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,7,0.03462,0.21949000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,8,0.03621,0.21462,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,9,0.04195,0.21312,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,10,0.03655,0.1702,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,11,0.041960000000000004,0.19415000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2020,12,0.04197,0.14493999999999999,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,1,0.0601,0.14880000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,2,0.02854,0.10811,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,3,0.04548,0.1333,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,4,0.06506,0.18067,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,5,0.06718,0.15641,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,6,0.08331000000000001,0.19841,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,7,0.09237000000000001,0.17318,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,8,0.10608,0.18437,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,9,0.1564,0.22343000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,10,0.19967,0.21193,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,11,0.19372,0.23675,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2021,12,0.23897,0.20874,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,1,0.2018,0.22116999999999998,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,2,0.20031000000000002,0.21253999999999998,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,3,0.28319,0.18938,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,4,0.19152000000000002,0.17108,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,5,0.18716,0.17643999999999999,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,6,0.16943,0.23553,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,7,0.14268,0.24380000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,8,0.15499000000000002,0.23772,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,9,0.14092,0.23357,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,10,0.12722,0.23062,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,11,0.11556999999999999,0.17821,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2022,12,0.09675,0.17771,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,1,0.06973,0.11408,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,2,0.13349,0.18406999999999998,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,3,0.08957999999999999,0.13955,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,4,0.07382,0.13748,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,5,0.07417,0.15037,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,6,0.09305,0.18863,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,7,0.09046,0.17526,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,8,0.09609000000000001,0.17825,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,9,0.10336,0.19752,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,10,0.08984,0.17115,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,11,0.06357,0.12079999999999999,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2023,12,0.07212,0.12602,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,1,0.07411,0.13696,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,2,0.0399,0.10473,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,3,0.02028,0.10335,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,4,0.01377,0.10192,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,5,0.03032,0.11019,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,6,0.05626,0.11187000000000001,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,7,0.07243000000000001,0.13012,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,8,0.0911,0.13936,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,9,0.07254000000000001,0.13122999999999999,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,10,0.06849,0.127,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,11,0.06849,0.17232,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2024,12,0.06849,0.18056,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,1,0.06849,0.12653,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,2,0.06849,0.13733,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,3,0.06849,0.10178,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,4,0.06849,0.11695,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,5,0.06849,0.13038999999999998,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,6,0.06849,0.15678999999999998,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,7,0.06849,0.13297,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,8,0.06849,0.13894,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,9,0.06849,0.13842,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,10,0.06849,0.17638,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,11,0.06849,0.14231,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8028,2025,12,0.06849,0.16271000000000002,0.29782779377126406,0.2979150309692053,0.2980022681671465,0.1062549070923842
8029,2019,1,0.06196,0.28468,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,2,0.054020000000000006,0.26844,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,3,0.04884,0.1911,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,4,0.0504,0.20751,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,5,0.04839,0.21318,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,6,0.047159999999999994,0.24324,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,7,0.05146,0.27106,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,8,0.044950000000000004,0.26830000000000004,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,9,0.04213,0.24516,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,10,0.04715,0.26842,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,11,0.04219,0.2,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
8029,2019,12,0.03381,0.16785,0.24998069647131496,0.25001930352868507,0.25001930352868507,0.24998069647131496
